episode,avg_reward_10,eval_avg_reward,eval_avg_length
10,88.5495657243564,76.33190418131471,9.4
20,83.70923540754363,76.33190418131471,9.4
30,62.375039004023236,23.647565609411558,3.8
40,22.793845824842492,18.599375390119707,3.2
50,19.43590337315532,18.59937297471697,3.2
60,21.09550158602803,18.599372925466497,3.2
70,21.93727741090973,18.599372933544693,3.2
80,21.08563601251307,18.599372899620104,3.2
90,21.959931357072932,18.59937284488741,3.2
100,21.084295640260716,18.599372858899127,3.2
110,22.75014602412802,18.599372839390163,3.2
120,20.261763694820168,18.599372908352358,3.2
130,21.09439270827722,18.599372921843404,3.2
140,20.25155663681206,18.59937289174386,3.2
150,21.080741241919686,18.599372933544693,3.2
160,20.29394031877674,18.599372941554325,3.2
170,21.92979377787959,18.599372937283743,3.2
180,21.910254136675825,18.599372971212237,3.2
190,21.060214456381686,18.59937302975414,3.2
200,23.59232608021944,18.59937303434263,3.2
210,19.390634611472727,18.59937306005563,3.2
220,20.2113099556383,18.59937305079426,3.2
230,21.899542981125375,18.599373054574215,3.2
240,21.12763233501736,18.599373072124628,3.2
250,23.635449148231377,18.599373142150824,3.2
260,21.91678021505972,18.599373190274044,3.2
270,19.42073740183947,18.599373138371668,3.2
280,20.2460768413971,18.599373231633244,3.2
290,22.756194380763137,18.599373161846707,3.2
300,21.871520496707852,18.599373184070004,3.2
310,21.100711251924512,18.59937322679851,3.2
320,22.777363401722077,18.599373209409947,3.2
330,18.59341602067813,18.59937327245673,3.2
340,21.930242971863958,18.599373292790045,3.2
350,20.218808248881505,18.599373325890262,3.2
360,23.592163030897105,18.59937333322154,3.2
370,21.906348358236894,18.599373383959666,3.2
380,21.0425440011417,18.599373429387462,3.2
390,22.759136831986883,18.599373505191107,3.2
400,20.278812678581517,18.59937359071663,3.2
410,21.992976900787546,18.599373711844716,3.2
420,22.748606490660475,18.599373785310938,3.2
