episode,avg_reward_40,eval_avg_reward,eval_avg_length
10,88.5062394731473,76.33190418131471,9.4
20,69.32215317665867,18.599683835523358,3.2
30,52.68915009407847,18.599374112909498,3.2
40,45.21422161886586,18.599373220696993,3.2
50,27.942589479813726,18.599373150262984,3.2
60,20.682006588864038,18.599373049552558,3.2
70,21.099530974165674,18.599373043550468,3.2
80,20.672620979226224,18.59937304334851,3.2
90,21.51209081910453,18.599373062063172,3.2
100,21.50473806435668,18.599373023652625,3.2
110,21.716936312476015,18.599373003854215,3.2
120,21.305996932129563,18.599372995511644,3.2
130,20.883204639988918,18.5993730084427,3.2
140,20.682865564731593,18.599373041356,3.2
150,20.468291240652135,18.599373045773394,3.2
160,20.47413384430452,18.599373060864956,3.2
170,20.68211164828894,18.59937310900711,3.2
180,21.096176849346186,18.599373095770762,3.2
190,20.882333794898074,18.599373091721084,3.2
200,21.706964556674343,18.599373193698284,3.2
210,21.070082115787383,18.599373186429425,3.2
220,20.634584853823732,18.59937321941128,3.2
230,21.04680081913399,18.599373188879383,3.2
240,20.6329740905613,18.599373211420588,3.2
250,21.690559461491297,18.59937324612053,3.2
260,21.915395810965208,18.59937320890821,3.2
270,21.29433346696943,18.599373213845478,3.2
280,21.076052788144814,18.599373276858287,3.2
290,20.851042261540464,18.59937324585001,3.2
300,20.427351599777715,18.59937329107196,3.2
310,20.8491565465525,18.599373356023747,3.2
320,21.268616107110233,18.599373356646147,3.2
330,20.02861528629241,18.599373389621864,3.2
340,20.450877123915784,18.59937335583682,3.2
350,19.815986403961013,18.599373470225974,3.2
360,19.603463412355104,18.599373537111227,3.2
370,20.639122239071643,18.59937353891681,3.2
380,20.4257975626139,18.59937360636203,3.2
390,20.851530251983416,18.599373606548955,3.2
