episode,avg_reward_10,eval_avg_reward,eval_avg_length
10,88.53946181138299,76.33190418131471,9.4
20,50.12660315507951,18.59968667132626,3.2
30,19.42475157877977,18.599374086641827,3.2
40,22.7929419485954,18.599373091991605,3.2
50,20.24799468612592,18.599372948655194,3.2
60,21.105727424900955,18.599372848666572,3.2
70,21.094077330833326,18.599372718158662,3.2
80,21.07052870178042,18.599372605761932,3.2
90,21.95989633050815,18.599372527794632,3.2
100,21.070621962492503,18.599372449018,3.2
110,21.954043015777604,18.599372493075727,3.2
120,19.446586815531287,18.59937248454623,3.2
