episode,avg_reward_10,eval_avg_reward,eval_avg_length
10,88.53946181138299,76.33190418131471,9.4
20,50.126599689674954,18.59968680051286,3.2
30,19.424751589688704,18.59937412918419,3.2
40,22.792941980368415,18.599373140722193,3.2
50,20.24799467680955,18.59937295143809,3.2
60,21.105727431590772,18.599372869607265,3.2
70,21.094077309093564,18.599372735694043,3.2
80,21.07052870154168,18.599372654405045,3.2
90,21.959896379123258,18.599372553174703,3.2
100,21.070622017380877,18.599372519785,3.2
110,21.95404302381369,18.5993725243735,3.2
120,19.446586814819483,18.59937256322033,3.2
130,21.094237735386393,18.59937255280085,3.2
140,21.10890627179011,18.599372587519746,3.2
