episode,avg_reward_10,eval_avg_reward,eval_avg_length
10,88.5495657243564,76.33190418131471,9.4
20,83.70923540754363,76.33190418131471,9.4
30,62.37503973638085,23.647567204051253,3.8
40,22.793846080395095,18.59937546761041,3.2
50,19.435903365943457,18.599372945162386,3.2
60,21.095501581355187,18.59937293587015,3.2
70,21.937277433026814,18.59937287510531,3.2
80,21.085636008401817,18.599372903788147,3.2
90,21.959931293858467,18.599372906113608,3.2
100,21.084295671865362,18.599372929563575,3.2
110,22.750146085873208,18.599372876720864,3.2
120,20.26176368227463,18.599372862777717,3.2
130,21.094392735392802,18.599372885707815,3.2
140,20.251556660828506,18.59937288012617,3.2
150,21.080741231419,18.599372909736697,3.2
160,20.29394032804719,18.599372953240582,3.2
170,21.929793729647947,18.59937296826358,3.2
180,21.910254081813545,18.59937293317164,3.2
190,21.060214391972487,18.599372987212558,3.2
200,23.592326009767234,18.599373011020543,3.2
210,19.390634568401037,18.599372976522552,3.2
220,20.21130992359094,18.599372991443023,3.2
230,21.899542901165667,18.59937301302809,3.2
240,21.12763229345712,18.599372974010173,3.2
250,23.635449071825562,18.59937297500643,3.2
260,21.916780103251575,18.59937302975414,3.2
270,19.420737299056277,18.599373045670866,3.2
280,20.246076780338907,18.599373022033973,3.2
290,22.756194322483996,18.599373018254813,3.2
300,21.87152037582243,18.599373003044885,3.2
310,21.10071110143238,18.599373028051087,3.2
320,22.777363115797723,18.59937307534995,3.2
330,18.593415965296725,18.59937302464578,3.2
340,21.930242875085817,18.599373107908328,3.2
350,20.21880798013434,18.59937313783676,3.2
360,23.59216275091063,18.599373071962777,3.2
370,21.9063482366559,18.599373148644325,3.2
380,21.042543856594165,18.599373156467028,3.2
390,22.759136447059028,18.599373185586128,3.2
400,20.27881245692505,18.599373178675286,3.2
410,21.992976693116063,18.599373187304217,3.2
420,22.74860609447891,18.59937327776705,3.2
430,21.903275994974823,18.59937336677617,3.2
440,21.100030690449113,18.599373393874306,3.2
450,21.94900707429701,18.599373455909777,3.2
460,18.566847668551866,18.599373481077837,3.2
470,23.59465607001411,18.59937352109198,3.2
480,21.959076221256346,18.599373615162847,3.2
490,22.755097189914906,18.599373658426245,3.2
500,21.918010423559803,18.599373813738264,3.2
510,17.761589222232068,18.599374033323663,3.2
520,22.822428034594402,18.599374104277473,3.2
530,21.124854950166696,18.5993741834028,3.2
540,21.933536185341314,18.59937429148447,3.2
550,21.92000652419198,18.599374464749097,3.2
560,21.933863792804612,18.599374834453474,3.2
570,20.277556828985844,18.59937509066248,3.2
580,21.078557526220784,18.59937552276586,3.2
590,23.595317953605022,18.599376240598218,3.2
600,21.086449963942467,18.59937723848043,3.2
610,22.779982218731323,18.599379065514103,3.2
620,20.3000654924819,18.5993815929395,3.2
630,21.08066366955301,18.59938517940639,3.2
640,21.094681397103894,18.599389767961714,3.2
650,19.4246629236277,18.599396319530435,3.2
660,22.73110399419473,18.599433622953924,3.2
670,21.927856206800765,18.59999890165032,3.2
680,39.59833710490595,25.564347031069037,4.0
690,57.655930637534446,76.51044264440873,9.4
700,81.02016492082953,76.33046402067633,9.4
710,76.34661734037513,76.40095904653614,9.4
720,91.36628118270525,79.99879453997931,9.8
730,89.73204732120021,79.99938219514766,9.8
740,83.88315077438364,78.41807988977855,9.6
750,76.33838591142606,78.43821148722148,9.6
760,87.5555473930049,80.21439473775425,9.8
770,96.1715317400008,83.8939381087582,10.2
780,97.9170880420457,87.50713396378957,10.6
790,90.54407766230801,84.19824653216052,10.2
800,97.92187064468735,89.53232660280277,10.8
810,98.15138207283944,89.69377297435125,10.8
820,95.20386626994832,93.21898857130982,11.2
830,113.9533210183387,91.78197537441841,11.0
840,109.32611624348306,93.49022236617205,11.2
850,98.79355987613833,95.33801869742088,11.4
860,112.162011466587,98.90388488003657,11.8
870,124.18224629620934,95.54509672784191,11.4
880,122.14156761844963,97.32433176470104,11.6
890,108.4215899561819,100.97082889610003,12.0
900,110.12211615897445,102.8146575217711,12.2
910,121.20366610837873,102.78285533529302,12.2
920,120.40304602547276,102.84625927871454,12.2
930,106.31144241937787,102.84043904533421,12.2
940,133.31450478586558,104.74499579213159,12.4
950,130.68468078757758,104.73772563887056,12.4
960,125.70119942462853,108.34130230047171,12.8
970,149.1754562687952,110.26654491626525,13.0
980,127.84163267796312,119.43142963114549,14.0
990,139.04699608953635,121.38860550935127,14.2
1000,156.83512209978747,130.46092902493038,15.2
1010,141.9283913625632,134.22855018008386,15.6
1020,147.37800151607797,165.66500325337228,19.0
1030,144.5767035518181,178.72586082784622,20.4
1040,151.1167410239959,175.15459708386737,20.0
1050,170.5704159494057,169.6668273230593,19.4
1060,189.27797045459167,186.295069772956,21.2
1070,193.00004319018547,195.78875729618142,22.2
1080,174.4741538749737,208.63136813338133,23.6
1090,204.78774622452846,227.13297799602168,25.6
1100,173.9963733294549,216.30027955525915,24.4
1110,183.61985003167757,264.6665198420262,29.6
1120,194.08285160273937,262.40194940601214,29.4
1130,198.7363726958188,232.30724590233558,26.2
1140,238.62501482356157,286.7712827232469,32.0
1150,229.47377422281383,252.99382692224685,28.4
1160,228.43728049276055,283.0699834087429,31.6
1170,224.59785728764018,254.7828896559669,28.6
1180,265.0107650539762,281.24958251191975,31.4
1190,225.75515367001375,290.67340974727,32.4
1200,294.18303662244546,281.4266181142913,31.4
1210,216.7084961323215,281.41531754046207,31.4
1220,238.6221661012941,290.8943053185001,32.4
1230,268.8291368751519,315.3891704600834,35.0
1240,225.7538163101308,294.88844046979597,32.8
