episode,avg_reward_10,eval_avg_reward,eval_avg_length
10,88.5062394731473,76.33190418131471,9.4
20,50.13807696551741,18.599684924685665,3.2
30,19.423143971401625,18.59937409717971,3.2
40,22.789436155667566,18.599373149930035,3.2
50,19.419710914221103,18.59937318278739,3.2
60,21.09573532625638,18.599373111416163,3.2
70,21.093241521946283,18.599373028776817,3.2
80,21.08179620615206,18.599373076594752,3.2
90,22.777590308741473,18.599373027344292,3.2
100,21.066324290661576,18.599373043245983,3.2
110,21.94203442702451,18.5993730269554,3.2
120,19.438038688839306,18.59937303705697,3.2
130,21.086421107889457,18.599372970520466,3.2
140,20.264967975740536,18.599372974181268,3.2
150,21.08373715174414,18.599373024359426,3.2
160,19.461409105289476,18.599373022033973,3.2
170,21.91833228006997,18.599373042352255,3.2
180,21.921228738633086,18.599373025523676,3.2
190,20.2283649001941,18.599373027780565,3.2
200,22.75993207202099,18.599373112309888,3.2
210,19.370802480434186,18.599373077591007,3.2
220,20.179239670440435,18.599373111313632,3.2
230,21.87722872551422,18.599373102224156,3.2
240,21.104625184532612,18.59937309379719,3.2
250,23.601143966077846,18.59937310020319,3.2
260,21.07858505767015,18.59937314874766,3.2
270,19.392979393970347,18.599373158357007,3.2
280,20.23150251183164,18.599373239661,3.2
290,22.701101856114597,18.59937322312188,3.2
300,19.383822495746784,18.59937320890821,3.2
310,21.080199194983642,18.599373298187853,3.2
320,21.90934067766889,18.599373321928077,3.2
330,17.74109865029461,18.59937337567952,3.2
340,21.072869829378135,18.599373381279293,3.2
350,18.540636320813597,18.599373389288917,3.2
360,21.059248787196587,18.599373468856676,3.2
370,21.88373397561897,18.599373537484272,3.2
380,20.219571137250316,18.59937352536255,3.2
390,20.243567070212375,18.599373560330775,3.2
400,19.42279842702138,18.599373560663718,3.2
410,21.963732834465866,18.599373637404263,3.2
420,22.727909744792434,18.59937363506377,3.2
430,21.907223568607904,18.599373706537484,3.2
440,21.06570205828082,18.599373788445714,3.2
450,21.91134683075825,18.59937407999623,3.2
460,18.560957071880807,18.599374081901264,3.2
470,23.570366095832355,18.5993742542722,3.2
480,21.924121311864248,18.599374340317514,3.2
490,21.92596715253903,18.599374307793163,3.2
500,21.89890170639644,18.59937449544249,3.2
