episode,avg_reward_10,eval_avg_reward,eval_avg_length
10,88.50623943718593,76.33190418304368,9.4
20,50.140740841672226,18.599690531647646,3.2
30,19.423144521111947,18.599374418991466,3.2
40,22.789436387777663,18.599373472006498,3.2
50,19.419711118606713,18.59937340780161,3.2
60,21.095735499919176,18.599373405578685,3.2
70,21.09324160518135,18.59937330690428,3.2
80,21.081796440342387,18.599373308981185,3.2
90,22.777590688137526,18.599373284799356,3.2
100,21.06632453524503,18.599373328551753,3.2
110,21.942034702282825,18.599373254046565,3.2
120,19.438038835898077,18.59937327678973,3.2
130,21.08642130522108,18.599373246369886,3.2
