episode,episode_steps,avg_steps_10,avg_reward_10,eval_avg_reward,eval_avg_length
10,9,10.7,88.5495657243564,76.33190418131471,9.4
20,12,10.2,83.70923540754363,76.33190418131471,9.4
30,4,7.9,62.37504050665988,23.647559761735824,3.8
40,4,3.7,22.793845152362035,18.59937537895338,3.2
50,3,3.3,19.435903355485397,76.33190418131471,9.4
60,4,6.2,46.420988799480114,18.59946082977988,3.2
70,4,3.5,21.125408066228044,76.33190418131471,9.4
80,4,6.9,52.84698123980495,18.599705524968677,3.2
90,3,3.6,21.958487478596997,76.33190418131471,9.4
100,3,7.4,57.546060958125814,18.60975367725075,3.2
110,4,3.7,22.74418123422369,76.33190418131471,9.4
120,4,7.0,53.881466940047815,18.603020387130933,3.2
130,3,3.6,21.92305416122162,76.33190418131471,9.4
140,3,6.7,51.1095966012594,18.59948037170232,3.2
150,3,3.5,21.096531116427553,76.33190418131471,9.4
160,4,7.3,56.645404005365165,25.839366320645375,4.0
170,4,3.7,22.876913103964736,76.33190418131471,9.4
180,4,6.6,50.09397285659282,18.599432808514802,3.2
190,3,3.6,21.919762195058198,76.33190418131471,9.4
200,4,7.6,59.621428998192286,18.60164567409779,3.2
210,3,3.3,19.41132035032577,76.33190418131471,9.4
220,3,6.6,50.12853384232946,18.599489340064984,3.2
230,3,3.6,21.900381298162266,76.33190418131471,9.4
240,3,7.1,54.93098454295193,18.599408230582206,3.2
250,4,3.8,23.63366806733628,76.33190418131471,9.4
260,4,6.9,52.868511865801665,18.599374053733246,3.2
270,3,3.3,19.41730215424007,76.33190418131471,9.4
280,3,7.2,55.89445784112494,18.615325116129323,3.2
290,4,3.7,22.74162325481462,76.33190418131471,9.4
300,4,7.2,55.728809817944544,18.600879447564086,3.2
310,4,3.7,22.7474898553726,76.33190418131471,9.4
320,4,7.5,58.56091232914402,18.611613833012242,3.2
330,3,3.1,17.744135558497092,76.33190418131471,9.4
340,3,6.2,46.43269238263812,18.59938025399912,3.2
350,3,3.2,18.538872460912593,76.33190418131471,9.4
360,4,7.0,53.870347107001976,18.60129569104483,3.2
370,3,3.6,21.93453415493996,76.33190418131471,9.4
380,4,6.8,51.97734665578046,18.59940122987726,3.2
390,3,3.5,21.10435713775636,76.33190418131471,9.4
400,3,7.0,53.962859567334604,18.59951646498513,3.2
410,4,3.6,21.97825649706707,76.33190418131471,9.4
420,4,6.7,50.969018806720996,18.59947867960746,3.2
430,4,3.6,21.926854522855287,76.33190418131471,9.4
440,3,7.0,53.99978569340959,18.59983138738375,3.2
450,3,3.6,21.94183669468673,76.33190418131471,9.4
460,4,7.1,54.73002486388755,18.59942906743519,3.2
470,4,3.8,23.625818721446006,76.33190418131471,9.4
480,4,7.1,54.71176755274534,18.599410377053704,3.2
490,3,3.6,21.946507316613342,76.33190418131471,9.4
500,4,7.1,54.6844599799892,18.59938649331109,3.2
510,4,3.1,17.76251886802046,76.33190418131471,9.4
520,3,7.1,54.81957339593723,18.599372272874064,3.2
530,4,3.5,21.101140147464108,76.33190418131471,9.4
540,4,7.3,56.7868988901933,18.600109969736454,3.2
550,4,3.7,22.7528585655351,76.33190418131471,9.4
560,4,6.8,52.05783649101746,18.59960880187834,3.2
570,3,3.4,20.244835599711944,76.33190418131471,9.4
580,3,7.2,55.59936209546547,18.599369045820566,3.2
590,4,3.8,23.62218100492562,76.33190418131471,9.4
600,3,7.0,53.81412001266379,18.599438615898066,3.2
610,3,3.7,22.782200221459977,76.33190418131471,9.4
620,3,6.8,52.24942900829656,18.602103609784457,3.2
630,3,3.5,21.083912401614917,76.33190418131471,9.4
640,4,7.2,55.59837747596615,18.599370975469363,3.2
650,3,3.3,19.396819899632938,76.33190418131471,9.4
660,3,7.4,57.655575311126185,18.60045121896755,3.2
670,4,3.5,21.10578919444382,76.33190418131471,9.4
680,4,7.1,54.66822792683895,18.599369045820566,3.2
690,3,3.2,18.54651295581121,76.33190418131471,9.4
700,4,7.3,56.494849964013405,18.599455155150103,3.2
710,4,3.4,20.237978523187085,76.33190418131471,9.4
720,4,7.4,57.439530310000784,18.599369045820566,3.2
730,4,3.6,21.90778830216761,76.33190418131471,9.4
740,4,7.0,53.86109115466936,18.601004661809718,3.2
750,4,3.7,22.769469747525697,76.33190418131471,9.4
760,4,7.1,54.68580499150376,18.599388498262357,3.2
770,3,3.6,21.914549435178873,76.33190418131471,9.4
780,4,7.0,53.92882103670174,18.59936980050232,3.2
790,4,3.7,22.78927516078047,76.33190418131471,9.4
800,4,6.9,52.85209538022838,18.59943129512404,3.2
810,3,3.5,21.078669701412025,76.33190418131471,9.4
820,4,6.9,52.96107126273885,18.600410797913195,3.2
830,3,3.5,21.072685776310568,76.33190418131471,9.4
840,3,6.9,52.94472722934014,18.59946529765751,3.2
850,4,3.6,21.93752160243371,76.33190418131471,9.4
860,3,7.3,56.75169371263405,18.599626461099525,3.2
870,4,3.5,21.103925946336936,76.33190418131471,9.4
880,4,6.3,47.25762292486482,18.5993711874937,3.2
890,4,3.7,22.741936067111222,76.33190418131471,9.4
900,3,7.3,56.6623462423972,18.60223544868917,3.2
910,4,3.7,22.746801256505158,76.33190418131471,9.4
920,4,6.9,53.00840279197401,18.601693909435078,3.2
930,3,3.5,21.08768333819162,76.33190418131471,9.4
940,3,6.9,52.98498004422207,18.59953280278414,3.2
950,3,3.6,21.920334947558807,76.33190418131471,9.4
960,4,6.7,51.07583817278952,18.600638629439608,3.2
970,3,3.5,21.10777458813682,76.33190418131471,9.4
980,4,7.6,59.49482362928053,18.599449123520298,3.2
990,3,3.3,19.417329199974223,76.33190418131471,9.4
1000,4,6.8,52.01609525880116,18.600403024589802,3.2
1010,4,3.7,22.78870396328607,76.33190418131471,9.4
1020,4,7.7,60.248858387176696,18.59936959092774,3.2
1030,3,3.3,19.428953803062605,76.33190418131471,9.4
1040,3,6.8,52.01755699878451,18.600376701073703,3.2
1050,4,3.8,23.668770339514474,76.33190418131471,9.4
1060,4,7.1,54.86264799496668,18.599383789516274,3.2
1070,3,3.4,20.290162223173418,76.33190418131471,9.4
1080,3,6.7,51.09132539543687,18.599402090948367,3.2
1090,4,3.6,21.935300733547535,76.33190418131471,9.4
1100,4,7.4,57.589281448687494,18.59936962645608,3.2
1110,4,3.6,21.905195551953305,76.33190418131471,9.4
1120,3,6.9,52.920743418888335,18.59937473291918,3.2
1130,3,3.2,18.565070041131982,76.33190418131471,9.4
1140,3,6.7,51.145200844674164,18.59937957153297,3.2
1150,3,3.6,21.976320644918832,76.33190418131471,9.4
1160,4,7.5,58.33669564658269,18.599370582745703,3.2
1170,3,3.6,21.915136915453697,76.33190418131471,9.4
1180,4,7.5,58.65896887846244,18.600855434980375,3.2
1190,4,3.4,20.264548023973724,76.33190418131471,9.4
1200,3,6.4,48.48451922091873,18.59939346612839,3.2
1210,3,3.3,19.409677008116226,76.33190418131471,9.4
1220,4,6.8,51.9768420162426,18.59937261903324,3.2
1230,3,3.5,21.09336974282229,76.33190418131471,9.4
1240,3,6.8,52.13872256979331,18.599973236279062,3.2
1250,3,3.5,21.12887977120359,76.33190418131471,9.4
1260,3,7.1,54.832382838423406,18.599369045820566,3.2
1270,4,3.4,20.262839606829232,76.33190418131471,9.4
1280,3,7.2,55.769034838493305,18.599456891606906,3.2
1290,4,3.5,21.06066390322812,76.33190418131471,9.4
1300,4,7.1,54.75850405971479,18.599370480562385,3.2
1310,3,3.4,20.26725413687382,76.33190418131471,9.4
1320,4,7.0,53.80286401040839,18.599371673695604,3.2
1330,4,3.6,21.947764533627023,76.33190418131471,9.4
1340,3,7.4,57.639483549837834,18.599380807568508,3.2
1350,4,3.5,21.100368351058265,76.33190418131471,9.4
1360,4,6.6,50.20013757125414,18.599422460354965,3.2
1370,4,3.4,20.22064336449339,76.33190418131471,9.4
1380,3,7.2,55.65422531405562,18.599377625939592,3.2
1390,3,3.7,22.743352588635272,76.33190418131471,9.4
1400,3,6.8,51.999117717777025,18.599817455665715,3.2
1410,3,3.4,20.277077215308843,76.33190418131471,9.4
